Africa,Middle Africa,Angola,NSO,,,,,,,,,,,," 1,055 "," 1,217 ",,,,,,,,,,,,,,,,, 4.4 , 4.8 ,,,,
Africa,Middle Africa,Cameroon,NSO/SDG, 459 , 755 ," 1,031 "," 1,002 ",,,,, 776 ," 1,277 ", 999 , 835 , 880 ,,,,,, 3.0 , 4.8 , 6.4 , 6.1 ,,,,, 4.1 , 6.6 , 5.0 , 4.1 , 4.2 ,,,,
Africa,Middle Africa,Central African Republic,CTS,,,,,,,,,,,,,,,,, 913 ,,,,,,,,,,,,,,,,,, 19.8 
Africa,Middle Africa,Chad,WHO Estimate, 949 ,,,,," 1,079 ",,,,," 1,151 ",,,,," 1,266 ",,, 11.4 ,,,,, 10.7 ,,,,, 9.7 ,,,,, 9.0 ,
Africa,Middle Africa,Congo,WHO Estimate, 366 ,,,,, 396 ,,,,, 433 ,,,,, 466 ,,, 11.3 ,,,,, 10.6 ,,,,, 9.9 ,,,,, 9.3 ,
Africa,Middle Africa,Democratic Republic of the Congo,WHO Estimate," 6,617 ",,,,," 8,021 ",,,,," 9,213 ",,,,," 10,322 ",,, 14.1 ,,,,, 14.6 ,,,,, 14.3 ,,,,, 13.5 ,
Africa,Middle Africa,Equatorial Guinea,WHO Estimate, 20 ,,,,, 22 ,,,,, 25 ,,,,, 27 ,,, 3.3 ,,,,, 2.9 ,,,,, 2.6 ,,,,, 2.3 ,
Africa,Middle Africa,Gabon,WHO Estimate, 134 ,,,,, 154 ,,,,, 143 ,,,,, 155 ,,, 10.8 ,,,,, 11.0 ,,,,, 8.7 ,,,,, 8.0 ,
Africa,Middle Africa,Sao Tome and Principe,CTS,,,,,,, 4 , 4 , 14 , 5 , 6 , 6 ,,,,,,,,,,,,, 2.5 , 2.5 , 8.4 , 2.9 , 3.4 , 3.4 ,,,,,
Africa,Northern Africa,Algeria,CTS,,,, 650 , 449 , 204 , 312 , 271 , 328 , 277 , 254 , 280 , 523 , 480 , 577 , 542 ,,,,,, 2.0 , 1.4 , 0.6 , 0.9 , 0.8 , 0.9 , 0.8 , 0.7 , 0.8 , 1.4 , 1.3 , 1.5 , 1.4 ,
